region,#,Building Name,City,Height (m),Height (ft),Floors,Completion,Material,Use,timestamp
Africa,1,Carlton Centre,Johannesburg (ZA),201.2,660,50,1973,concrete,office,2019-01-18T02:39:17Z
Africa,2,Britam Tower,Nairobi (KE),200.1,656,31,2017,concrete,office,2019-01-18T02:39:17Z
Africa,3,Ponte Tower,Johannesburg (ZA),172.8,567,54,1975,concrete,residential,2019-01-18T02:39:17Z
Africa,4,UAP Old Mutual Tower,Nairobi (KE),163,535,33,2016,concrete,office,2019-01-18T02:39:17Z
Africa,5,NECOM House,Lagos (NG),160.3,526,32,1979,concrete,office,2019-01-18T02:39:17Z
Africa,6,Tanzania Ports Authority Headquarters,Dar es Salaam (TZ),157,515,40,2016,concrete,office,2019-01-18T02:39:17Z
Africa,7,PSPF Commercial Tower A,Dar es Salaam (TZ),152.7,501,35,2014,concrete,office,2019-01-18T02:39:17Z
Africa,7,PSPF Commercial Tower B,Dar es Salaam (TZ),152.7,501,35,2014,concrete,office,2019-01-18T02:39:17Z
Africa,9,Marble Towers,Johannesburg (ZA),152.1,499,32,1973,concrete,office,2019-01-18T02:39:17Z
Africa,10,Pearl Dawn,Durban (ZA),152,499,31,2010,concrete,residential,2019-01-18T02:39:17Z
Africa,11,Reserve Bank Building,Pretoria (ZA),148,486,38,1988,concrete,office,2019-01-18T02:39:17Z
Africa,12,88 on Field,Durban (ZA),146.5,481,26,1985,concrete,office,2019-01-18T02:39:17Z
Africa,13,IMOB Business Tower,Luanda (AO),145,476,35,2018,concrete,office,2019-01-18T02:39:17Z
Africa,14,Ministry of Foreign Affairs,Cairo (EG),143,469,39,1994,concrete,office,2019-01-18T02:39:17Z
Africa,15,El Gezira Tower Movenpick Hotel,Cairo (EG),142,466,43,1996,concrete,hotel,2019-01-18T02:39:17Z
Africa,16,Nile City North Tower,Cairo (EG),142,466,34,2002,concrete,office,2019-01-18T02:39:17Z
Africa,16,Nile City South Tower,Cairo (EG),142,466,34,2002,concrete,office,2019-01-18T02:39:17Z
Africa,18,El Maadi Residential Tower XIII,Cairo (EG),140,459,42,1987,concrete,residential,2019-01-18T02:39:17Z
Africa,18,El Maadi Residential Tower XIV,Cairo (EG),140,459,42,1987,concrete,residential,2019-01-18T02:39:17Z
Africa,18,El Maadi Residential Tower XV,Cairo (EG),140,459,42,1987,concrete,residential,2019-01-18T02:39:17Z
Africa,18,El Maadi Residential Tower XVI,Cairo (EG),140,459,42,1987,concrete,residential,2019-01-18T02:39:17Z
Africa,18,El Maadi Residential Tower XVII,Cairo (EG),140,459,42,1987,concrete,residential,2019-01-18T02:39:17Z
Africa,18,El Maadi Residential Tower XVIII,Cairo (EG),140,459,42,1987,concrete,residential,2019-01-18T02:39:17Z
Africa,24,Kwadukuza Egoli Hotel Tower 1,Johannesburg (ZA),140,459,40,1985,concrete,hotel,2019-01-18T02:39:17Z
Africa,25,Times Tower,Nairobi (KE),140,459,38,1997,concrete,office,2019-01-18T02:39:17Z
Africa,26,Michelangelo Tower,Sandton (ZA),140,459,34,2005,concrete,residential,2019-01-18T02:39:17Z
Africa,27,ABSA Building,Johannesburg (ZA),140,459,31,1970,concrete,office,2019-01-18T02:39:17Z
Africa,27,Trust Bank Centre,Johannesburg (ZA),140,459,31,1970,concrete,office,2019-01-18T02:39:17Z
Africa,29,Standard Bank Centre,Johannesburg (ZA),139,456,34,1968,concrete,office,2019-01-18T02:39:17Z
Africa,30,Southern Life Centre,Johannesburg (ZA),138,453,30,1973,concrete,office,2019-01-18T02:39:17Z
Africa,31,Old Mutual Centre,Durban (ZA),137,449,33,1995,concrete,office,2019-01-18T02:39:17Z
Africa,32,Portside,Cape Town (ZA),136.4,448,30,2014,concrete,office,2019-01-18T02:39:17Z
Africa,33,Monte Blanc,Durban (ZA),132.6,435,40,1985,concrete,residential,2019-01-18T02:39:17Z
Africa,34,ABSA Building,Pretoria (ZA),132,433,38,1976,concrete,office,2019-01-18T02:39:17Z
Africa,35,JW Marriott Hotel,Tripoli (LY),130,427,36,2011,concrete,hotel,2019-01-18T02:39:17Z
Africa,36,Banco de Mocambique Tower 1,Maputo (MZ),130,427,31,2016,concrete,office,2019-01-18T02:39:17Z
Africa,37,NTC Tower,Khartoum (SD),130,427,29,2010,concrete,office,2019-01-18T02:39:17Z
Africa,38,1 Thibault Square,Cape Town (ZA),129,423,32,1972,concrete,office,2019-01-18T02:39:17Z
Africa,39,209 Smit Street,Johannesburg (ZA),128,420,30,1976,concrete,office,2019-01-18T02:39:17Z
Africa,40,Atterbury House,Cape Town (ZA),127,417,29,1976,concrete,office,2019-01-18T02:39:17Z
Africa,41,Orange Telecommunication Tower,Antananarivo (MG),125,410,33,2013,concrete,office,2019-01-18T02:39:17Z
Africa,42,Bank of Mauritius Building,Port Louis (MU),124,407,25,2006,concrete,office,2019-01-18T02:39:17Z
Africa,43,Kine Centre,Johannesburg (ZA),123,404,27,1974,concrete,office,2019-01-18T02:39:17Z
Africa,44,El Maadi Residential Tower IX,Cairo (EG),122,400,35,1987,concrete,residential,2019-01-18T02:39:17Z
